Best in AI,"If you truly want to understand Artificial Intelligence completely and in every way, this is the book for you.  The authors are leading experts in the field of AI."
Five Stars,Great in depth explanations of how AI works
Five Stars,"what can I say, it's a book."
Five Stars,It is exactly same content of international edition.
Five Stars,very good!
Five Stars,I am constantly learning from this book and look forward to each next chapter.
A waste of time and money,"The book wastes much space with explanations of the trivial and then leaves a big gap in helping the student to understand how to build algorithms to solve the classic problems.  There are many problems at the end of each chapter, but not even any hints of how to solve them.  There is a set of multiple choice questions and answers at the end of the book; these challenge only the students ability to memorize definitions."
Five Stars,Comprehensive.
Not so good.,"- The cover doesn't match the image on Amazon.
- It was the Indian edition, which was not mentioned in the description at all.
- The book clearly labelled: illegal to calculate outside India
- Indian edition is supposed to be $30, now this seller is selling for $88.
- the book is badly printed on low-quality paper, words fade or gets blurry on quite a few pages."
"The ""Standard"" AI textbook in academia",I'd like to see a 4th edition... the 3rd edition is over 7 years old now.
Five Stars,Great deal!
Five Stars,Required for college
Five Stars,a nice book over all
Five Stars,Everything is there except...it is illegal to pass around this book outside of India...it nerves me.
Four Stars,"Great content, but it's a flimsy book. Be careful or it will fall apart on you."
Four Stars,This is a far-ranging introduction to a number of artificial intelligence approaches and techniques.
"The book is kinda hard to read, but using ...","The book is kinda hard to read, but using it with online stuff is helpful. Lacking some new developments of AI"
AI,Stuart Russell is the world's leading author on anything AI. Learn from the MASTER!
Great content but underwhelming experience with kindle format,Formatting for Kindle edition is not at par with other kindle books. It feels like that paper version is represented in kindle format without giving much thought of user experience.
Must for AI,"Seminal work, fills in the core pieces of AI..."
Stay away from the Kindle version!,"The contents of the book are great, but it is unfortunate how bad of a job they did in making the kindle version. The layout is terrible, graphs and pictures of algorithms are blurry and sometimes partly cut off, and a lot of grammar mistakes. Other than that, the book is well written, just not satisfied with the version I bought. Would consider switching to the hardcopy version despite the extra cost and physical weight just because of how terrible the kindle version is."
Easy to understand and contains a wide coverage of modern ...,A textbook for my graduate AI class. Easy to understand and contains a wide coverage of modern AI techniques. Must-read for anyone learning AI.
The authors do a great job of explaining the concepts in language so easy ...,We use this book in our AI introductory class. The authors do a great job of explaining the concepts in language so easy to understand that complete newcomers to AI can understand. Love it.
Three Stars,too heavy to take it with me
Five Stars,awesome!!
Five Stars,love it
Great book !,"Great book ! 1130 pages and yet to the point.  I haven't read the first two editions so i cannot judge if there is a lot of new stuff in this 3th edition, but i feel like i am able to make an expert system myself, having read the book.  Not for the layman though.  You need to have an engineer's or mathematical mind to grasp everything.  The book really covers everything from the neat's point of view.  In the heart, i am a scruffy but what this book has taught me, can certainly do no harm as it is a real overview of all the scientific techniques involved in making expert systems and other applications in AI."
Great intro to AI,"Condensed knowledge on main topics in artificial intelligence, very easy to follow"
Comprehensive and updated book on AI,Very in depth coverage on the field of AI. We used it for our undergraduate intro to AI class but I think the material as presented in the book is graduate level.
excellent book.,"Mint condition, excellent book."
"Paper quality is horrible, but the book content is great.","The book content is great, but the paper quality is really awful. The publishing company is now using newsprint (very low quality)."
Great Introduction to AI,"I purchased this product for my Artificial Intelligence Class. This is a great introduction book to AI algorithms. For a graduating Computer Science, I felt that it presented many examples and algorithms in a simple easy to understand way with great real world applications.
My only complaint with this book is that a lot of the pseudocode is hard to follow and implements a lot of algorithms without any explanation. For a more experienced programmer this may not be a problem, but as a student I found it hard to follow at times. Overall great book!"
Three Stars,The index is quite limited
Nice,Nice
"Good as reference, bad as learning tool","This books covers a TON of topics and provides pseudocode for most of the major algorithms, making it great as a reference text. However, a lot of the explanations are very brief and dense, so it can be pretty hard to learn topics for the first time from this book."
Five Stars,GREAT work
Five Stars,"Perfect, exactly as I hoped it would be!"
Inconsistent detail of psudocoded algorithms,This was required reading for an AI class I took. There are a lot of good examples and descriptions of different algorithms. However there are many parts where psudocode is given in which hypothetical functions are referenced. A decent description of these hypothetical functions is not always provided.
Five Stars,Great version
Not worth the money. Too expensive with hardly any  subject clarity. College Book SCAM. Go purchase international version,Not worth the money. Too expensive with hardly any meaning full subject clarity. College Book SCAM. Go purchase international version for less than $10 instead of $200 on US version..
Five Stars,A classic on the topic!
Five Stars,Cheap!!!!
Great Textbook,"So I'm in a class that requires this text book. So far I have to say they provide good examples and explain he complex parts pretty well. They also add some humor in hear on example which I love. This book is a easy read compared to most text, and the HW question inside the book are fun to answer. This book makes me feel like I'm learning a lot.
Ill update this again once the class is over and I'm farther in the book."
Awful kindle edition,"This review is for the kindle version, not the content. For this much money I'd really expect a better conversion. It is really just a pdf, not a real ebook. You are not able to change font sizes o background colors, they basically did the absolute bare minimum."
Don't buy the ebook,"So far this book is wonderful.  I greatly, greatly wish I had bought the physical book.  The ebook is so, unbelievably bad.  It's basically just a scan of the actual book.  You have no control over the font or the colors.  I have to zoom in just to be able to read it.  It shouldn't be sold as an ebook if this is the quality they are pushing.  The book itself is 5 stars, but the ebook is 1.
If I could return the ebook and get the paperback,  I would."
Five Stars,great?
Four Stars,"Pretty heavy on search-algorithms, but that's a decent approach to AI for most undergrad programs."
Five Stars,"Love this book, is a must have for anyone interested in exploring and revisiting AI techniques. Love it!"
Honestly one of the best courses I've ever taken in my life,Honestly one of the most interesting text books I have ever owned. Bought this for a class my university offered in AI as an elective. Honestly one of the best courses I've ever taken in my life. This book is HUGE btw. It has a lot of conceptual problems it goes over that easily could be a study guide for a LOT of types of job interview questions
Book is in good condition!,Book is in good condition!
Five Stars,Great textbook! I used it in an introductory AI course. Organized and written well
Five Stars,High quality book physically!
Four Stars,A good way to be introduced to the concepts governing artificial intelligence
I've never enjoyed reading a textbook this much,"I've never enjoyed reading a textbook this much. The author has a sense of humor, but still does a great job explaining. I actually look forward to reading this book whenever I can. Great book for jumping into AI."
