Four Stars,"Paper quality is poor.But , content quality is out of the world"
Five Stars,Must have book :)
Three Stars,"Sorta helpful for those who require guidance, rather than self exploring."
But a good resource for interview preparation,Slightly advanced for ppl new to Data Structures and Algos. But a good resource for interview preparation.
"Top of the line contents, But...!!!","Content wise this book provides top notch details to excel in any interview for any Tech Career level, 5/5 for the content this book offers.
That said, the main concern here is the quality of the book itself. The pages are slightly Yellow in color, it's similar to the buff sheets we used during our maths class for practice problems. The text printed in the back side is clearly visible on the front page. That's annoying & quite difficult to read on. It seems like the quality is being compromised to sell it at 30 - 50 INR less than other sites who sell the same book. 0/5 for the book quality.
Hope Amazon is listening to these concerns..."
Poor quality,"Book paper and binding quality is very poor..
I purchased this book not satisfied with quality. And all problem and solution also provided online."
Amazing book. All the aspects of a coding interview ...,Amazing book.All the aspects of a coding interview are stated clearly.Most of the critical concepts are explained through simple examples.The interview preparation strategies are extremely useful and applicable in real-world.
One Star,Printing is very bad. Very small font.
it sucks. you know what could be the best option,"Book's content is as expected extraordinary. BUT paper quality man !! it sucks. you know what could be the best option? instead of buying a new one, if your friends have this book already just take a xerox of it. It will probably cost even less than this actual book price. Idiots they are selling waste and recycled papers for this much amount. Utterly disappointed."
Best preparatory book for all Coding Interviews.,"I purchase this book for 570 odd rupees and it is worth the buy.
Of course the paper quality of Indian edition is not too good. But the Indian edition of this book is almost (1/4)th the price of the International edition (around 28$).The missing pages in the Indian edtion of the book is present in the link as mentioned in the description .
It provides some valuable tips .It also covers topics regarding about the problems with the Resume ,Preparation plan one faces.
It is a good choice only if the reader knows Java. To all the 189 programming questions in the book,the solutions are coded in Java. So one who doesn't know Java would definitely find it bit hard to cope up with the book.
Note:****The solutions in C++ language are provided in Github repository of  CareerCup.****"
Five Stars,The book is good
Otherwise a great book.,Few pages were removed from the indian version to reduce the price. Otherwise a great book.
Best book on programming interview,"This book is the best book on how to crack programming interviews and it covers  over 189 programming interview questions, ranging from the basics to the trickiest algorithm problems, problem solving techniques, techniques to ace the behavioral interview questions  and solutions to the problems. This book is easy to understand and is of great help in enabling you to perform at your very best."
THE CODING EXAMPLE ARE GOOD IN THIS BOOK.HIGHER LEVEL THINKING,ITS GOOD BOOK
Five Stars,Such a wonderful book for learn Programming and for interviews.
Paper quality is poor,"As I saw in some comment, the paper is dull in colour, that was expected. But there were granular paper dust which was from the edges of paper (like the paper was cut and the dust wasn't cleared). I had to clean the book before using it.
Amazon: I didn't get a bookmark along with this book. I had to use Flipkart's bookmark. Too bad."
Awesome book,"For long time I have been searching for a book on ds and Algo with an approach towards preparing for the tier 1 companies. Day 1 I have this book in hand, and I am so happy I ordered it. Every software developer fresher or experienced should have this. Must buy. Also, amazon fulfilment best as ever."
Good,Good
Very good,Excellent quality in both content and page. Have no doubts.
Five Stars,Nice book with explanation
only for java programmers..,only for java programmers..
Five Stars,Great
Awesome!,Awesome!
One Star,Cheap content.
Four Stars,"awesome, well structured and easy language."
The quality of pages is good and the content is best as promised,Product was delivered withing 4 days of purchase. The quality of pages is good and the content is best as promised. Would recommend the geeks to buy it. :P
Best book for learning about coding interviews.,"Let me get straight to the main points and clear all your doubts :
Paper Quality : The book is printed on semi-rough pages usually used in typical novels. But still the pages a not that thin, they are thicker than you would expect.
Paper Binding quality : Same as that of a typical novel, i.e. very nice.
Missing Pages : I'm quoting what the author says - &#34;In an effort to reduce your costs as much as possible, we have removed the following content from the Indian edition...Which can be downloaded online at crackingthecodinginterview.com/indian_edition.html&#34;.
If you want high quality pages and no missing pages then feel free to spend over ?2000 (I'm saying this on assumption, please verify it first)."
Good!,"I was afraid about the quality after reading all the comments down here. But the book looks pretty good and interesting, it's been a day now!"
Sabse best,Quality is good. Well organized.
you can easily find its pdf online but i would suggest you ...,"anyone preparing for a software job, just buy it with your eyes closed. you can easily find its pdf online but i would suggest you to buy the hard copy."
"Good, Quality And excellent service","Good,Quality And excellent service!!"
Decent technical material,Good problem set. But it also came with a lot of generic interview prep material making the book feel a bit bloated.
Thank you Gayle.,I would like to thank Gayle for helping me to visualise the recursive function in the form of tree. Very insightful.
Five Stars,Really good for programmers
Five Stars,A very good book!
Excellent write up! Need kindle edition,Is there a kindle paperwhite edition of this book?
Five Stars,Nice book to revise your concepts while preparing for the interviews
Awesome :),Great Book indeed.
Four Stars,Very good book.
Just fine quality pages,"Just got this book delivered from Amazon. Haven't gone through the content but after reading through the reviews, I was very concerned about the book quality. Happy to find that it's just fine plus for a book to be this size, it's very light."
Don't buy the Indian Edition,"Can't be more cheap for an Indian edition. I mean literally cheap!
To begin with, the Indian edition is printed on extremely poor quality paper. Though this makes the book lighter but I am not certain for how long will it last. Looks like it might wear out in few weeks.The print quality is absolutely not worth it.
So maybe you'd expect that you should at least get the copyrighted content to leverage the cost. Sorry to disappoint you, but I found that some sections have been omitted to reduce the cost. This is not a fair practice author.
If you want the content in its entirety, you know where to go pirates."
Five Stars,worth to buy
One of the best Book I have read and Totally worth for spending ...,"One of the best Book I have read and Totally worth for spending money on this.
They will cover all the topics which required for interview. Definition of each topic very clear.I can recommend to other who wants to prepare interview."
Three Stars,Seems OK but skills shared in book seems older now
Four Stars,Product is up to the mark.. And as I expected! You can buy it
Few pages are missing ... content seems to be good ...,"Received the book couple of hours ago. Book is in good condition. Content also seems to be good.
Few pages are missing... 31-46 (inclusive)."
Four Stars,Very good book!
"Getting help for interview preparations, go for this book","Book is great to read.
I recommend every CS student have this book."
so great for the beginners and intermediate level as well,"Almost every topic that you need to cover is touched a lil, so that even if you don't understand the whole of that from the book, you can always look it up from somewhere else. This book will give a direction over all and on all the topics, so great for the beginners and intermediate level as well."
Five Stars,Great book
Five Stars,awesome book
Four Stars,its really good i'll be finishing it shortly...
Good one,One of the best book to go through and practice if you are old school
Excellent,"Excellent book, good delivery by Amazon, every programmer must have this book to beat top companies interviews and to develop coding abilities. The author is great..."
Five Stars,Very useful book.
Five Stars,Great book. Good print.
Please include more problems,Content is good. But some content is not applicable for Indian IT companies. It would be good if they more problems and solutions.
Really liked the tips on resume/interview,Really liked the tips on resume/interview
