Great book covering all the basics of Comp Science,Excellent
Not python syntax,"The codes written in this book do not follow optimum python syntax. The coding complexity is more than what's needed.
Although good for concept"
Five Stars,If you want to have detail knowledge about analysis this is right book for you
Advanced python covered in this,"Really worth it &#60;3 Loved the concepts in the book.Also, the delivery was on time.Thank you, amazon for making this book available!"
Nice but no Great,"DS & Algo in python is very different in python as compared to the legacy languages like C, C++, JAVA
The code snippets are not that simple to grasp as there are other codes with same complexity but easier codes.
On a personal level i'd recommend this book to everyone but one have to made effort to get through it."
Four Stars,Really good book. All the concepts are detailed and with the examples.
This is the best book you can have for preparing for Tech interviews,This is the best book you can have for preparing for Tech interviews. Gives a systematic way to approach problems. Start with a Brute force approach and keeps optimising and using different techniques for better solutions. HIGHLY RECOMMENDED.
Not for the novice Python programmer (not a compliment),"First of all, this book is purely passable if you are looking at learning some good programming practices for your standard algorithms. The author writes some really horrible python code, which is not Pythonic by any stretch of imagination. It seems more like Java code than Python.
Other most irritating bit apart from the non Pythonic code is the lack of output for the problems.
So, this book is quite OK if you are already a decent Python programmer and are looking for one place to find most of the algorithms. Though it will be a disaster if you learn to program from this book."
Damaged book received,Good book for learning python but received a damaged book
Five Stars,Amazing book for understanding and exploring Data Structures and Algorithms through Python. Do buy this book! Cheers :)
Good book but no index,Good book but no index
Great book on data structures,Great book on data structures
I am rating it 2 because of the following points.,"1) Description for each question is just copied and pasted from Data Structure and algorithm made easy in C, so sometimes it doesn't match python syntax.
2) Some of the class definitions of data structures are missing.
3) Structuring of the code segment could have been better."
"The Book is good, but i have a phobia of Snakes","The Book is good, but i have a phobia of Snakes, I hope that writer or the publishing company would have given thought something more subtle while making the design of cover.
Other than everything is good."
Five Stars,Excellent //
Four Stars,Delivered on time and this is one of the best book.
Four Stars,Awesome book
"i like the way the author, describe all the concept but this book is not for the beginner .if you know a little bit about progra","i like the way the author, describe all the concept but this book is not for the beginner .if you know a little bit about programming then buy this book.overall it's cover all the topics in detail ."
Not worth the money or time. It is kind ...,Not worth the money or time. It is kind of frustrating to read the book especially if you already have taken a course in data structures.
