Four Stars,good
Four Stars,GOOD
Nice product (y),Got it as expected from Fastrack. Nice product (y)
Just ok,"The product is good in terms of quality and fit. But the thickness of the cover is high, slightly difficult to press the volume key and lock key"
Four Stars,Good one :)
must buy at this price..,Very good product. Amazon is service as well
So cool,Nice glass
Four Stars,Very cool and good glasses
Fake and poor quality product,Bakwas ..Fake and poor quality product..Abhi mangwaya h aisa Lagta h FasTrack company ka naam Marker se likha h Jo haath se mit gaya...Very poor
He liked it very much,I bought this sunglass for my husband and it perfectly fits on him. He liked it very much.
Product is very good and his code no is p089bk1,I recently purchase this sunglass. Product is very good and his code no is p089bk1.
Excellent Product,"amazing, good quality with this price. Fully satisfied."
Three Stars,The product the nice..
Excellent product.,Superb.... Price worthy and looks nice...
Five Stars,"Good buy, can be used during night while driving."
Four Stars,Nice but little small size
Loved it,Bought long ago for my pappa.  Loved it
Four Stars,Little bit short but good product
Five Stars,Best sunglasses
nice,nice.
Five Stars,Worthy
Five Stars,Cool product ..
Five Stars,Good one ....v pretty look after wearing
Three Stars,this is good product but not a fashionable..
Five Stars,Nice sunglass
Four Stars,Value for money. Suitable for small faces
Good,Good one.Smaller size.
One Star,No good
Good quality. But it little bit,Good quality.  But it little bit large
Four Stars,Good quality with reasonable price
Five Stars,"Very nice in all aspects...
Good looks
Very good fitting
Affordable price"
Three Stars,Looks nice but the outer box was not good
Size is very smal not covering complete eye,Product is second quality
Five Stars,Good we can use this in day and night.
Cheap quality. Looks fake.,Cheap quality. Cheaper than the ones you get for 50rupees on footpath. Does not look like an original one. Never expected thos from Amazon.
Four Stars,Nice Sunglasses...Quality og the product is fine but not the best...
No Title,None
One Star,Bad product. probably not from fastrack .cheap product. Painful for eyes.
still the glasses are good. I would like to give 4star but due ...,Why  don't you give the same colour as shown in the pic or else change the colour .  still the glasses are good. I would like to give 4star but due to the above mentioned only 3 stars
Five Stars,It is very good product
No Title,None
No Title,None
Four Stars,Super
Four Stars,Low price thats good glass...
One Star,Got a small size.
Four Stars,nice one very useful for driving
AVERAGE,"AVERAGE LOOK, MAY BUY"
No Title,None
No Title,None
No Title,None
No Title,None
Really it's a good product. But the hands are wide,Stylish . Really it's a good product . But the hands are wide .
No Title,None
No Title,None
No Title,None
No Title,None
Three Stars,So so not so gd
Vest Product,"Its very bad... my eyes are pain started when the glasses
 wearing."
No Title,None
Fastrack Sunglasses,Excellent Sunglasses by Fastrack. Stylist look.
Four Stars,nice product
Five Stars,I am happy.
Three Stars,not good
No Title,None
No Title,None
One Star,Horrible. Not worth the money
Four Stars,Good glass
Good not Great!,Good not Great!
Not fit to head properly,Too small to fit.  It does not fit properly to my head. It may be good for people with small head but for normal or large head size it too small.
Five Stars,Good
Four Stars,Good product at that price point!
No Title,None
Five Stars,Superb for value
No Title,None
