Five Stars,Good Product. Delivered in perfect condition. Working fine. Happy.
Received defective laptop,I got defective item. There is vertical lines on the screen display after 4 days of using laptop.
Product is good.. Only problem is with the OS,"Product is good..
Only problem is with the OS....
If this product is given with Windows OS (at least linux) then it would be a better product.."
Three Stars,Not expected quality of the product..
Identify duplicate or original product,This product duplicate or original??
Five Stars,Good product
product is just awesome..,"cheers to amazon!!...i got the order by next day.r .product is just awesome...Moreover ,i hv got a gift card of Rs.1500!!!thnkxxx amazon!"
No Title,None
HP 15--be016 TU one day experiance,"Specifications:-same as given.
Design:-decent look.
Warranty:---1 yr, you can check in HP by Ur serial no.
Battery: 4--5 hrs.
The only problem which I found is that the OS is DOS and when you will install windows 10 pirated copy it won't work smoothly, apart from that all looks good till now..
I shared this experience by only one day use of laptop..
I hope it will work fine...
*Seller should provide laptop bag.."
Five Stars,Lowest cost
Battery fitting is loose,"I ordered the product during the great amazon sale period and received it within 4-5 days.
Product is good and everything seems fine except the battery. The laptop battery is bit loose and make sound when we hold the laptop on the back. This is not expected from a brand new laptop."
No Title,None
Fantastic,"HP notebook received is excellent, Cardinal Red colour is looks too good.  Intel core i3 6th gen, 4gb ddr4, 1tb HD graphic runs very smooth. Its definitely a best buy. ?"
Five Stars,Excellent. Very happy with this purchase.
Four Stars,Very nice product. Sound is also good as per the price.
No Title,None
Good laptop,"Good product no issues,installed Windows 10 64bit.1year manufacturer warranty is available.no driver cd is available with this laptop,you have to download it from hp site, light weight easy to handle, satisfied with the video and audio clarity. Purchased the product for RS.23990/-"
Nice product which i received in starting i'm facing driver ...,"Nice product which i received in starting i'm facing driver problems means not getting any drivers but in final when i update windows than all is well. Laptop is running well battery backup is good. looking wise good, slim product. but only one bad thing that i have received laptop and charger only nothing more like driver CD nor any kits."
Ok product,Nice product in such a low peice...........support only window 7and 10 .I prefer to install window 10 .sound are low .If u are want to use this laptop for video editing than go for i5 processor ...
Im happy with the purchase.,"I purchased this during the great indian sale for 23990+15% cash back,  it has everything  i hoped it would,  I'm not a heavy user,  i dont play much games, what i need though was the storage,  which gives me plenty,  i read through the reviews  before i purchase this and thanks to the detailed reviewers,  I'm not a tech savvy so i was bit worried  about the freeDos but in the end it works out alright. Some of the comments says  they were disappointed post purchasing that windows is missing.  Well,  it does say FREEDOS it should not be the reason they give 1 star. If there are technical  words you dont understand by all means look it up in Google before making your purchase. And just use Windows 10 64bit, and it works just fine.  There is no problem whatsoever. My cats loves it and i love it,  thats all there is to it.  ??"
Window 7 drivers are not supported and mouse pad is ...,Window 7  drivers are not supported and mouse pad is not compartable
More than satisfied.,"Works as advertised, great value for money (the best in its price bracket). Installed (elementary) OS with no  problem whatsoever. Although keys on the keyboard feel slightly plasticy. Anti-glare display would have made it perfect (display is not of premium quality).
Everything else is excellent."
Four Stars,Nice one
No Title,None
No Title,None
No Title,None
No Title,None
No Title,None
Ok ok,"Installed windows 10, not that much powerful laptop for running win 10, a bit laggy but value for money, sound quality is good but sound is not loud"
Good product,Product is cool as desicribed in the specification... works like charm but you need to have the drivers first as the usb slots also not working without the drivers
No Title,None
One Star,Very poor product!! Display problem started in a month of the product purchase
worth buying  by Tarun Jangir,"Purchase at 23990Rs in great india sale. similar configuration HP-15be012tu product sale at flipkart at Just 22990Rs 14-18 May 2017 sale. perhaps i buy this from amazone.  install all three windows 7,8.1, and 10.  in window 7 (32 bit) could not able to get all drivers. in windows 8.1 all the things are good but surprisingly could not find the wifi turn on option then finally installed windows 10 and get all drivers from hp officially site. really good and worth buying. strongly recommended to everyone best product in this price range.."
No Title,None
No Title,None
