My friend loves these books!! She loves this ...,My friend loves these books!!  She loves this author. She is currently deployed so I created a care package of books
Excellent novel.,Sidney Sheldon is the most powerful author. Excellent novel.
Intrigue,"Very good, liked it from the first page.  Families are often cruel, a life follows fiction.  Like Sidney Sheldon, his stories always have glamor, death and betrayal.."
A1 writing,"As is typical with all Sidney Sheldon books, this is a page turner as well. You get so close to the characters you feel as if you're part of the story. Great read!"
Couldn't put it down,Good book filled with suspense leaving you guessing...couldn't put the book down. Sidney Sheldon is indeed the master of his game!!!
Five Stars,Excellent book!
Five Stars,Great....
Exciting,It's good. Action packed.
Five Stars,This is one of my favorite books. What a great story. Also recommend the sequel.
Five Stars,Good One
Five Stars,Had me glue to it from the begining!!!
Another Sidney Sheldon great. Have read all his books,Another  Sidney Sheldon great. Have read all his books. I keep reading to get to the end for the twist. Highly recommend
Four Stars,Loved the twists and turns in the plot
SHELDON'S BOOKS ARE ON THE EDGE OF YOUR SEAT RIVETINGLY GOOD.,AS ALWAYS S. SHELDON'S BOOKS ARE ON THE EDGE OF YOUR SEAT RIVETINGLY GOOD.
Five Stars,Great book!!
Five Stars,An epic masterpiece!  What a page turner.
Great for Speed Demons and Leisurely Readers,"This was the first time I've ever read a Sidney Sheldon novel, and it was just what I needed. I'm usually the type to shred through a novel in little more than a couple of days, but I just never seemed to be ready for this story to end. I wound up reading 5 to ten pages here and there, while I was brewing coffee or waiting for an appointment, with the occasional indulgence of several chapters over lunch or before bed. This is the perfect book for speed readers and page nibblers alike. The story spans several generations, with Sheldon introducing and developing new characters along the way. It was easy to lose hours at a time to the swift plot line, but the 360 degree storytelling also allowed me to feel fully satisfied even if I could only fit in a few pages here or there. Accompany the flexible pacing of the book with a killer narrative about power, struggle, and the truth behind coming from &#34;a good family&#34; --- all revolving around strong (if slightly one-dimensional) female protagonists  ---and you're set for a great story.
**Some readers are more mature than others, but the sexuality, violence, and overall &#34;foregone era&#34; theme of this book would probably keep me from recommending this book to anyone under a VERY mature high school student."
Five Stars,love it
Five Stars,EXCELLENT!!!!
Awesome read.,5th time reading over the years ans it's still a page turner!!!  Awesome read.
Three Stars,Eh.
Had a hard time putting this fascinating book down,"It was Sheldon at his best...complex characters, family dynamics and a great plot. Suspenseful, twisted and enjoyable. I can't wait to read some of his other books now"
Five Stars,Awesome book
Five Stars,I have enjoyed all of Sidney Sheldon's books.
Five Stars,Amazing book. I love it.
A master writer,Loved this book when I read it more than 30 years ago and still enjoyed it immensely . Fantastic as always
Excellent read,It's a slow start but it's totally worth it to push through the first few chapters! The story takes you through generations of this family as well as history. Great book!
great reading!,This writer always delivers....great reading !
"Sidney Sheldon is great writer, this one was a master piece","Sidney Sheldon is great writer, this one was a master piece. He took us to the whole world in a period of one century, narrating each and every episode in a mastery way creating great characters."
Five Stars,Gotta be his best.
Five Stars,FANTASTIC. Sheldon's books are always very good.
Five Stars,I am a 100% non fiction reader but this book is teriffic
So good!,The very first &#34;novel&#34; I read. It's so darn good I read it every year and share with other book lovers!
Five Stars,Excellent
Kate Blackwell becomes heiress to Krueger-Brent Ltd. Good reading but took a long time before reader was able to get fully engag,Good book but took too long before reader became fully engaged. Unlike other Sheldon books I able to get entrenched much sooner.
Five Stars,I read the sequel before I read this and enjoyed both books
Five Stars,Riveting - couldn't put it down.  Wish he was still here to write more.......
Five Stars,Very good read! Arrived as promised.
Five Stars,Great book and great movie. Mr. Sheldon is one of the great authors of our time!
Five Stars,One of my all time favorites!
