X,Best in this price band Strong competitor to Mi other well known Also for nearly one year No problem
Ya one man who n a good person,
EXPERIENCE FOR SHOPPING,Great job I really appreciate YOU really understand
Nice phone,Nice phone with nice delivery
Good service,Nice after sell service
Good mobile,Value for money with rich look
Delivery is very fast,Fast delivery And good product I like it
,Awesome delivery speed and service
Quality of Mobile,Mobile quality is poor like second hand
Charging port,Product is good but company to be more take care as i have and within two charging port is not working we have registered complain but till now we have not receive any response from
Getting charging issue after days,Mobile charging but charging percentage not increasing When I my mobile at percentage after one hour also Mobile showing same percentage
amazing phone,good phone
Excellent phone,That s excellent phone
It is a beautiful,So sexy look
its awesome,very good phone
Supper phone,phone
problem,No icon Message and sending problem No sending and
Good product,Whole heartedly And enjoying
,Bad battery pack up less capacity of working
Great Value for money But had charging issue like most of,Due to really bad quality It was the Type C cable s defect I got it and all is going well now but don t know when will the defect happen
Very smart,Best mobile I
Phone performance is good but battery life is below average,Performance of phone and camera is good but the battery life is not much good
is very bad,This hand set is very bad The camera of this mobile is And the of this mobile phone are very bad And the all of this mobile phone is bad
Very good camera,This phone very good and excellent
mobile review,pick is not good
Nice phone,Great at this price
performance,While I was excited by delivery speed the product turned out to be a disappointment The phone worked for a week on th day it either t charge or switch on assured a replacement But the perception on product in my view is not good
Average phone,Battery is not charging quickly camera could be better Heating fast finger print sensor the time overall average performance
Nice Experience,Seller side is excellent but brand low power poor camera on this model mobile
Mobile is not working and faulty,Please cancel this order and return my money back at the
Awesome phone,Awesome but type c charging system not working well
Same as j prime,Best mobile in this range
Perfect phone,Best phone n good looking
Superb Mobile ever Thank u,Superb Mobile ever
,The phone is not charging the battery by itself
,THIS IS A GOOD PRODUCT
Average product,Not memory slot and battery backup problem
Good mobile Attractive looking,Nice mobile I like it long lasting
,Good product
Perfect choice for,Its very handy fast quality display call function remote and clear Must say my wife this phone
Battery is very poor are average,Not for
Hanging problem,was bad mobile
the product is a faulty product battery is not charging i want replacement of the product or money,battery is not charging not happy with the seller
Not well its very costly,It s product are not good
Excellent Product,mobile all are but it major heating problem for snapdragon
Good phone with more unique,had a best deal when I bought this phone which is more better than and As per service it is always good from my point of This mobile lot of when to other under K budget Nothing to brief Better phone for Average and not for long as every phone in today s market heat up due to high performance
Same as note competition is below,Best phone in this range I also have used note comparatively low cost Nice front look battery is while note have not much good are available is not as good as
Good Product,got express delivery for free
phone review,charging cable is not so good as it got defect with in days
No jack in phone,Good phone but if there is a jack in phone then the phone is best
Worth the price,Met my decent phone
Nice product,It s a very good product
Satisfactory,I would suggest that one should order their product only when one is percent satisfied that the product is according to choice Even percent of doubt or query will bring u to surface Its good dealing with
,Product is very good No
very goods your service and delivery on time,awesome your service
Simply awesome experience with thanks,Simply awesome experience with thanks
Phone and delivery is,My concern is Mobile Data not working Can anyone help here
Best phone,Best smart phone in this price in comparison to other so branded I am this phone from the last Highly satisfied
Very fast delivery,Very fast delivery excellent work
Good just,Good just
was a value for money and of good built,This is the third phone of this model and is good for general use
Excellent super Phone,this is my second phone i am with phone Atom sound and Sound super combination i am music lover good performance best sound in earphone speaker Best
I am not that happy with product,cannot be plugged in directly to the phone One should always carry the wire along Charging pin is uniquely designed when to other smart phone So in emergency we do not have an option to use other brand charger
Product Made in CHINA,Nice product for Heating issue Fingerprint not so fast battery should be better Design of product is actually very nice Camera is nice Good for Fast charging Battery is only Heating issue Made in China No MICRO
Overall phone is good,I bought this phone before now there is a charging issue it charging and led but there no increase in battery percentage sort it out Don t know Tu do reply
Nice phone at this price,Phone is good delivery can be more reliable
Not bad nothing special,Some times automatically
Good mobile in this price,Mast
Good phone,Awesome phone
not,after day of this phone is not
,Very good looking phone
Front camera poor,Camera is very bad
Go for it,It s worth the price No handset is good as it is in this price range
Awesome phone,is the best
Value money,It s worth n great deal by snap deal
My first Purchase,This is my first android device in site Thanks
